



ITEM NO	ITEM_DESC	MSP	MSRP	DEALER PRICE	RETAIL-MAP	sale-price	end-sale	UPC	BRAND	FIREARM-ACTION	ATF-MODEL	CAL/GA
00856	POF RENEGADE+ 5.56 16B 30RD	1680.00	2016.00	1680.00	1898.00	0.00		847313008565	POF-USA	RIFLE	Renegade+	MULTI
00910	POF RENEGADE+ 5.56 16 BB 30RD	1792.00	2150.00	1792.00	2025.00	0.00		847313009104	POF-USA	RIFLE	Renegade+	MULTI
011294113	BRN GOLD FLD 10/28MC 3.5 MOSGH	1489.00	1999.99	1489.00	1679.99	0.00		023614743446	BROWNING	SHOTGUN	GOLD	10 GAUGE
01130	CZU CZ75 BD 9MM DCK B 10RD CA	549.99	649.00	549.99	N/A	0.00		806703011301	CZ USA	PISTOL	CZ 75 BD	9MM
011412605	BRN SL MAT HUNT MIC MID 20M/26	989.00	1329.99	989.00	1179.99	0.00		023614443148	BROWNING	SHOTGUN	Silver	20 GAUGE
011413304	BRN SIL FIELD 12M/28 WALNUT	939.00	1279.99	939.00	1099.99	0.00		023614443162	BROWNING ARMS COMPANY, INC	SHOTGUN	SILVER FIELD	12GA
011413604	BRN SIL FIELD 20M/28 WALNUT	989.00	1329.99	989.00	1179.99	0.00		023614443186	BROWNING	SHOTGUN	SILVER FIELD	20 GAUGE
011417204	BRN SIL FLD 12M/28 3.5 SYN	939.00	1279.99	939.00	1099.99	0.00		023614686798	BROWNING	SHOTGUN	SILVER FIELD COMPOSITE	12 GAUGE
011417304	BRN SIL FIELD 12M/28 SYN	889.00	1199.99	889.00	979.99	0.00		023614686774	BROWNING	SHOTGUN	SILVER FIELD COMPOSITE	12GA 3
011420204	BRN SIL FLD SA 12M/28 3.5 MOBL	999.99	1349.99	999.99	N/A	0.00		023614735298	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011420205	BRN SIL FLD SA 12M/26 3.5 MOBL	999.99	1349.99	999.99	1099.99	0.00		023614735281	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011426204	BRN SIL FIELD FDE 12M/28 3.5	1039.99	1399.99	1039.99	N/A	0.00		023614739098	BROWNING	SHOTGUN	SILVER FIELD MOBL FDE	12GA 31/2
011426205	BRN SIL FLD FDE 12/26 3.5 MOBL	1039.99	1399.99	1039.99	1159.99	0.00		023614739081	BROWNING	SHOTGUN	SILVER FIELD MOBL FDE	12 GAUGE
011428204	BRN SIL FLD FDE 12M/28 3.5 C	1039.99	1399.99	1039.99	N/A	0.00		023614743262	BROWNING	SHOTGUN	SILVER FIELD MOSGH FDE	12GA- 3 1/2 INVECTOR PLUS-28
011428205	BRN SIL FLD FDE 12/26 3.5 MSGH	1039.99	1399.99	1039.99	1159.99	0.00		023614743255	BROWNING	SHOTGUN	SILVER FIELD MOSGH FDE	12 GAUGE
01143	POF P415 EDGE 5.56 RFL 16B 30R	1792.00	2150.00	1792.00	2025.00	0.00		847313011435	POF-USA	RIFLE	P415 EDGE	MULTI  5.56 NATO
011430205	BRN SIL FLD SA 12M/26 3.5 VTAN	1039.99	1399.99	1039.99	1099.99	0.00		023614849285	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011431204	BRN SIL FLD SA 12M/28 3.5 VTAN	999.00	1349.99	999.00	1179.99	0.00		023614849315	BROWNING ARMS COMPANY, INC	SHOTGUN	SILVER FIELD	12GA
011433321	BRN SIL RFLD DR 12/22 3 MOBL	1099.00	1479.99	1099.00	N/A	0.00		023614853077	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011434204	BRN SIL FLD FDE 12/28 3.5 MAX7	1039.99	1399.99	1039.99	1159.99	0.00		023614853312	BROWNING	SHOTGUN	SILVER FIELD FDE	12 GAUGE
011434205	BRN SIL FLD FDE 12/26 3.5 MAX7	1039.99	1399.99	1039.99	1159.99	0.00		023614853305	BROWNING	SHOTGUN	SILVER FIELD FDE	12 GAUGE
011435204	BRN SIL FLD 12M/28 3.5 MAX7	999.99	1349.99	999.99	1099.99	0.00		023614853336	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011435205	BRN SIL FLD 12M/26 3.5 MAX7	999.99	1349.99	999.99	1099.99	0.00		023614853329	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
011438204	BRN SIL FLD FDE AURC 12/28 3.5	1039.99	1399.99	1039.99	N/A	0.00		023614855842	BROWNING	SHOTGUN	SILVER FIELD	12 GAUGE
01145	POF P415 EDGE 5.56 R 16BB 30R	1904.00	2285.00	1904.00	2152.00	0.00		847313011459	POF-USA	RIFLE	P415 EDGE	MULTI  5.56 NATO
01152	CZU CZ75 SP-01 9MM 10RD NS CA	679.99	799.00	679.99	N/A	0.00		806703011523	CZ USA	PISTOL	CZ75	9X19
011700304	BRN MAXUS II STALKR 12M/28	1279.00	1729.99	1279.00	1499.99	0.00		023614740735	BROWNING	SHOTGUN	MAXUS II	12GA - 2 3/4, 3
011701204	BRN MAXUS II 12M/28 3.5 MOSGH	1529.00	2049.99	1529.00	1719.99	0.00		023614740797	BROWNING	SHOTGUN	MAXUS II	12 GAUGE
011702204	BRN MAXUS II 12M/28 3.5 MOBL	1529.99	2049.99	1529.99	N/A	0.00		023614997658	BROWNING	SHOTGUN	MAXUS II	12GA-23/4,3,31/2
