Item_Number, UPC_Code, Quantity_NC, Quantity_AZ
AM568300,810042110618,27,0
AM768300,810042112186,20,0
8448670-10-308F,844867010303,0,0
8448670-10-FF,848037001351,0,99+
8448670-20-308F,856214789633,0,31
8448670-FF,848037000958,0,77
M308-20RPROMO,873750008509,0,0
M308-5PROMO,847313003805,0,0
MA223-5PROMO,847313005809,0,0
MP1000-DT-PROMO,MP1000DTPROM,0,0
MP1025-DT-PROMO,MP1025DTPROM,0,0
54169-PROMO,,0,0
Z2109SW3014411,,-676,64
Z2207CANMA2240,,99+,91
Z2210RUG90691,,99+,56
Z2211HKMAG17RD,,72,18
Z2212ARMSTK1001,,0,0
Z2209BTAJM4PX92,,1,3
8448670R-FF,084486700000,0,0
CIT45FSM-FF,0CIT45FSMFF5,0,0
PCPXMAG22-FF,PCPXMAG22FF6,0,0
DEFAULT-ITEM,,0,0
CC-DEPOSIT,,0,0
MISC RECEIVABLE,,0,0
MISC-WAI-REBATE,,0,0
CANCEL-GG-CHK,,0,0
CALLTAG,,-51,-34
FREIGHT CHARGE,,0,0
RE-SHIP CHARGE,,99+,99+
FC,,0,0
2X-NSF,,-5,-1
1X-NSF,,-1,0
FREE-GOODS-ADJ,,0,0
BAD DEBT,,0,0
BALANCE W/O,,0,0
MFG-CREDIT,,0,0
TERMS,,-1,0
BAL-XFER,,0,0
GGG-TRANSFER,,0,0
AGED-CREDIT,,0,0
REPAIR-ADJ,,-1,0
MERCHNDISE LOST,,0,0
C-STAR/BANK ADJ,,0,0
WF-ACH-CHGBACK,,-6,-2
NSF-CHARGEBACK,,0,0
PRICE ADJUSTMNT,,0,-2
POLO-BLK-2XL,,0,0
POLO-BLK-3XL,,0,0
POLO-BLK-4XL,,0,0
POLO-BLK-L,,0,0
POLO-BLK-M,,0,0
POLO-BLK-S,,0,0
POLO-BLK-XL,,0,0
TSHIRT-BLUE-2X,,0,0
TSHIRT-BLUE-3X,,0,0
TSHIRT-BLUE-L,,0,0
TSHIRT-BLUE-M,,0,0
TSHIRT-BLUE-S,,0,0
TSHIRT-BLUE-XL,,0,0
TSHIRT-GRAY-2X,,0,0
TSHIRT-GRAY-3X,,0,0
TSHIRT-GRAY-L,,0,0
TSHIRT-GRAY-M,,0,0
TSHIRT-GRAY-S,,0,0
TSHIRT-GRAY-XL,,0,0
TSHIRT-LNG-BL-S,,0,0
TSHIRT-LNG-GY-S,,0,0
TSHIRT-RED-2X,,0,0
TSHIRT-RED-3X,,0,0
TSHIRT-RED-L,,0,0
TSHIRT-RED-M,,0,0
TSHIRT-RED-S,,0,0
TSHIRT-RED-XL,,0,0
TSHRT-LNG-BL-L,,0,0
TSHRT-LNG-BL-M,,0,0
TSHRT-LNG-GY-L,,0,0
TSHRT-LNG-GY-M,,0,0
TSHRT-LNG-RD-L,,0,0
TSHRT-LNG-RD-M,,0,0
SWTSHRT-BLK-L,,0,0
SWTSHRT-BLK-M,,0,0
SWTSHRT-GRY-2X,,0,0
SWTSHRT-GRY-3X,,0,0
SWTSHRT-GRY-L,,0,0
SWTSHRT-GRY-M,,0,0
SWTSHRT-GRY-XL,,0,0
SWTSHRT-RED-L,,0,0
SWTSHRT-RED-M,,0,0
S0952090,,0,0
SHIRT-WHT-L,,0,0
SHIRT-WHT-M,,0,0
SHIRT-WHT-XL,,0,0
LANYARD-BLK,,0,0
LANYARD-RED,,0,0
DAV-FOLDER,,0,0
DAV-GTD-BNR-BLK,,0,0
DAV-GTD-BNR-RED,,0,0
DAV-GTD-CLOTH,,0,0
DAV-GTD-DECAL,,0,0
DAV-GTD-DECAL-L,,0,0
DAV-GTD-DECAL-S,,0,0
DAV-GTD-SM-STKR,,0,0
DAV-HAT-90ANNIV,,0,0
DAV-HAT-ORANGE,,0,0
DAV-HAT-RED1932,,0,0
DAV-KEYCHN-RED,,0,0
DAV-LUNCHBX-BLU,,0,0
DAV-LUNCHBX-GRY,,0,0
DAV-LUNCHBX-RED,,0,0
DAV-LUNCHBX-TAN,,0,0
DAV-MASK-BLK,,0,0
DAV-MASK-RED,,0,0
DAV-OPEN-BIGBLK,,0,0
DAV-OPEN-BIGRED,,0,0
DAV-OPEN-BLK,,0,0
DAV-PEN-RED,,0,0
DAV-PEN-SET,,0,0
DAV-PENS-BK-SLV,,0,0
DAV-PORTFOLIO,,0,0
DAV-POUCH,,0,0
DAV-WEB-BNR-BLK,,0,0
GOG-WEB-BNR-BLK,,0,0
GOG-WINDW-DECAL,,0,0
GSTORE-DECAL-LG,,0,0
GSTORE-DECAL-SM,,0,0
GOG-BANNER,,0,0
GOG-GUN-PATCH,,0,0
DAV-BOTTLE-CLR,,0,0
DAV-CRM-FOLDER,,0,0
DAV-EXCL-STCKR,,0,0
15700E-RED,,0,0
002306-BR,,0,0
1355-13,,0,0
Y2KL13714-BLK,,0,0
FORM-CHAX,,0,0
FORM-CHK-PILLOW,,0,0
FORM-ENV-10X13,,0,0
FORM-ENV-RHWIND,,0,0
FORM-ENV-WINDOW,,0,0
FORM-GOLD-THANK,,0,0
FORM-HANG-TAG,,0,0
FORM-INVOICE,,0,0
FORM-INVOICE-G,,0,99+
FORM-LETTERHEAD,,0,0
FORM-LTRHD-ENV,,0,0
FORM-NOTE-CARD,,0,0
FORM-NOTE-ENV,,0,0
FORM-STMT-ENV,,0,0
FORM-STMT-LTRHD,,0,0
FORM-WARRANTY,,0,0
AGU-ADJ,,0,0
85601-MET,713780856018,14,8
85602,713780856025,0,0
85604,713780856049,2,0
85605,713780856056,0,0
85607,713780856070,0,0
85608,713780856087,0,0
85610,713780856100,13,49
85612,713780856124,1,22
85614,713780856148,10,16
85615,713780856155,0,0
85617,713780856179,5,6
85618,713780856186,0,0
85620,713780856209,2,2
85622,713780856223,0,0
85624,713780856247,5,6
85625,713780856254,0,6
85635-MET,713780856353,4,1
ATIGFXH45,813393018497,0,0
ATIGFXH45M,819644025399,0,0
ATIGFXS917,819644028284,6,0
ATIGOMX556MP4,819644025610,0,0
GERG1911ADOP,813393012600,10,34
GERG1911ADOPGR,819644029069,0,0
GERG2210FF,813393019425,63,0
GERG2210FFG,813393019562,31,63
GERG2210FFL,819644026211,12,37
GERG2210FFM,819644027560,3,12
GERG2210FFS,819644027256,6,11
GERG2210FFT,813393019555,8,49
GERG2210GSG9CA,813393016806,0,0
GERG2210M1911,813393011504,73,41
GERG2210M1911CA,813393013959,20,11
GERG2210M1911G,813393018435,45,28
GERG2210M1911S,813393013911,81,85
GERG2210M1911T,813393018442,43,46
GERG2210TFF,813393019685,69,1
GERG2210TFFL,819644022060,51,19
GERG2210TFFM,819644027577,99+,75
GERG2210TFFS,819644027065,5,39
GERG2210TFFT,813393019692,7,20
GERGMP409X,853267007851,0,0
ATIG12BDB,819644026037,0,0
ATIG12NMD18,819644021551,0,0
ATIG12NMD23C,819644024392,0,8
ATIG12NMD28,819644021568,0,0
ATIG12SC26PP,819644026839,5,0
ATIG12SC26PW,819644026792,5,0
ATIG15MS410G2,819644029243,0,0
ATIG15MS556MLP3,819644025290,0,0
ATIG20NMD18,819644021575,0,0
ATIG20NMD23C,819644024408,0,0
ATIG20NMD26,819644021582,1,0
ATIG20SC26PP,819644026846,0,0
ATIG410NMD18,819644021599,0,0
ATIG410NMD23C,819644024415,0,0
ATIG410NMD26,819644021605,0,0
ATIGKOF12SVE,813393016134,29,19
